vehicle_id,timestamp,x_position,y_position,speed,vehicle_density,mobility_pattern,RSU_id,link_quality_dB,bandwidth_MHz,URLLC_flag,interference_dB,tx_power_mW,rx_power_mW,residual_energy_J,energy_consumed_J,route_id,hop_count,end_to_end_delay_ms,throughput_Mbps,routing_stability,reward_value,optimal_action
V110,11,2.05844943,54.88586651,25.0923363,78,urban,RSU_5,23.60928476,20,0,11.23663844,140.8548495,54.1366896,811.8241201,5.346191965,R7,9,35.18075655,9.36266554,stable,0.212668387,stay
V111,12,96.99098522,28.7632729,25.44555184,88,urban,RSU_2,31.60647443,25,0,4.737327492,190.9873667,85.06262158,587.8928263,7.854414123,R9,2,10.15617867,28.43466027,stable,2.721195918,next-hop
V112,13,83.24426408,30.67765995,29.4736839,52,urban,RSU_5,37.48196981,15,0,11.60496562,121.281244,113.8665181,835.5107978,4.9513601,R3,7,43.95954809,39.01607858,stable,0.838031432,stay
V113,14,21.23391107,35.29585035,17.54673828,97,rural,RSU_5,33.16396968,15,0,9.125152022,128.2556394,101.1556466,983.5361216,9.56411578,R8,4,37.82447001,5.370785983,stable,0.046351208,stay
V114,15,18.18249672,62.1292449,16.37392199,36,urban,RSU_2,32.77556794,20,1,3.248226724,102.8744253,93.54951528,628.2064137,2.991819863,R1,6,11.86555241,7.138769852,stable,0.571720023,stay
V115,16,18.34045099,33.40499657,23.83689014,76,highway,RSU_4,24.54926646,10,1,9.244722251,151.1850434,52.2121509,571.0761527,2.988568374,R1,7,5.960057237,25.99134306,unstable,4.331036038,next-hop
V116,17,30.4242243,73.26990506,8.311766409,20,highway,RSU_2,37.78573272,15,0,2.868089797,168.8180897,74.79146519,512.0876226,6.440046066,R6,8,22.54405437,44.27498998,stable,1.899531548,next-hop
V117,18,52.47564316,40.45273856,18.67288784,32,highway,RSU_1,21.93307355,15,0,2.185994706,132.877072,74.2097025,689.4135932,9.066363344,R8,7,35.38726658,49.90049208,stable,1.319462011,next-hop
V118,19,43.19450186,6.835320031,18.65619,46,highway,RSU_2,20.13200892,25,0,13.56515971,170.0299256,87.94599776,607.3055294,7.046718105,R8,7,17.74163329,9.20272178,stable,0.448240518,stay
V119,20,29.12291402,78.37598425,7.23682807,89,urban,RSU_1,24.10559834,10,0,8.368909451,116.3125668,68.04794455,745.9297116,7.063104066,R1,3,48.79648346,5.825388153,stable,0.04875027,stay
V120,21,61.18528947,28.57583246,15.44960214,78,rural,RSU_2,31.25390552,10,0,9.062765516,164.8381302,68.70090006,762.153014,8.25657377,R1,2,47.06066247,15.29464649,stable,0.2424328,stay
V121,22,13.94938607,43.27668796,26.33211996,25,rural,RSU_1,36.54194965,20,0,5.639191031,111.001344,93.46025601,674.6638722,7.018115885,R9,7,31.9073209,26.03616085,unstable,0.745812165,stay
V122,23,29.21446485,68.54438832,26.40384055,42,rural,RSU_1,18.30196956,25,0,9.055681353,173.677945,116.119728,874.9531111,7.83412932,R9,7,19.20195827,30.73081603,unstable,1.522058812,next-hop
V123,24,36.63618433,33.24561571,7.480941623,29,urban,RSU_2,35.34505443,25,0,4.195292998,179.6769894,96.21253725,952.4033354,8.795147154,R7,7,45.33211633,48.80682103,stable,0.988698484,next-hop
V124,25,45.60699842,5.658565615,7.268022069,70,rural,RSU_5,35.32058487,15,0,11.69339537,175.7268402,96.76910868,605.7615489,1.071196368,R1,6,41.15618783,44.98086614,stable,1.082218857,next-hop
V125,26,78.51759614,37.3921047,11.56738693,38,highway,RSU_3,29.67298391,20,0,12.70353909,105.8567127,119.0350369,918.1488867,8.970606194,R2,9,8.876945873,30.29444138,stable,3.323003874,next-hop
V126,27,19.96737822,94.44485827,26.86915156,70,urban,RSU_5,34.01619849,15,0,13.12638514,163.3099325,60.74347169,565.5939499,2.9373794,R8,7,26.43452733,21.27712295,stable,0.775525143,stay
V127,28,51.42344384,64.17343973,8.222564627,87,rural,RSU_1,19.54701745,10,0,3.386485327,144.6248465,52.36843419,614.3510923,9.208949291,R8,5,49.15467028,19.45837034,stable,0.303770559,stay
V128,29,59.24145689,67.14791487,22.99992007,61,highway,RSU_2,19.23965002,25,0,9.250807204,198.3244388,102.1859766,780.7078431,3.395649658,R5,3,25.42574184,30.76811025,stable,1.176160024,next-hop
V129,30,4.645041272,63.22821536,7.52914049,76,highway,RSU_2,36.57000085,20,1,12.51376261,123.3892185,80.71512032,653.2907444,5.097150454,R2,2,46.98088115,37.46087786,stable,0.746392805,stay
V130,31,60.75448519,19.8992139,20.57844634,87,urban,RSU_2,27.45371093,15,1,3.666814347,172.5501623,80.01763483,520.8553953,9.404950328,R3,5,48.97802046,26.67496205,stable,0.450581778,stay
V131,32,17.05241237,41.83338641,13.90168248,57,urban,RSU_2,21.14843036,15,0,3.293791306,124.409374,65.77123635,647.4360709,1.987721314,R5,7,22.43116616,18.69794509,stable,0.813692694,stay
V132,33,6.505159299,75.09397984,24.72284907,81,rural,RSU_3,32.21825894,10,0,12.62024598,127.6228969,85.48041284,952.4350943,7.707548156,R3,9,48.40513147,32.59244111,unstable,0.596250675,stay
V133,34,94.88855373,10.13728976,10.84226122,26,rural,RSU_4,37.29687917,25,0,12.35756851,93.31906213,80.95206406,587.111581,4.532037748,R1,8,11.20732415,30.10738917,stable,2.641082619,next-hop
V134,35,96.56320331,27.78527761,20.98004573,90,rural,RSU_1,30.80806615,10,0,7.833010781,108.7593423,74.18150055,881.8754399,1.216906724,R6,9,12.205375,24.23157539,stable,1.973150956,next-hop
V135,36,80.83973481,27.63191085,10.89206336,69,urban,RSU_3,23.68362607,15,1,3.426245195,99.73811439,80.99216115,861.141003,9.452197603,R5,3,17.44445343,38.67601047,unstable,2.122573023,next-hop
V136,37,30.46137692,43.20189276,22.84150708,71,rural,RSU_5,27.08094413,25,0,8.709601045,99.10406733,76.86843395,553.112408,2.060459761,R3,9,26.0400284,17.69995125,stable,0.659116291,stay
V137,38,9.767211401,98.03687409,26.84195086,45,rural,RSU_4,33.80673652,25,0,7.1324416,81.08198332,115.7927451,664.7214823,7.967275938,R9,3,13.14611489,26.82162507,stable,1.960597336,next-hop
V138,39,68.42330265,6.750254668,8.170044978,45,highway,RSU_4,16.68753072,10,0,8.741116604,175.2536923,118.617616,594.6781446,4.458431321,R8,9,20.30799666,47.31527866,stable,2.285299794,next-hop
V139,40,44.01524937,51.87009944,26.66489221,38,highway,RSU_2,20.4291129,25,1,7.718637626,136.1517462,108.7930653,511.5750906,8.295246355,R7,9,9.664389752,37.52729093,stable,3.800095706,next-hop
V140,41,12.20382348,17.9364682,19.83938136,28,highway,RSU_3,26.56457967,10,1,9.390687374,176.5001082,119.3289864,586.5203376,7.752585383,R2,2,24.35036508,22.45873517,stable,0.844790304,stay
V141,42,49.51769101,97.06765454,8.177762272,80,rural,RSU_5,30.1060241,25,0,11.45268634,153.5060491,68.60036003,600.7889708,6.698966879,R5,2,42.23653178,29.57799797,stable,0.633304525,stay
V142,43,3.438852112,11.33035047,15.68854638,39,urban,RSU_2,23.47913978,25,1,12.07317875,179.7605195,109.0047577,582.9901237,9.453002653,R5,9,31.77740922,23.24668537,stable,0.637017508,stay
V143,44,90.93204021,40.36010024,9.021507337,69,highway,RSU_2,22.45977305,20,0,10.43676858,140.4518004,78.46403083,545.5486047,1.890311327,R6,2,41.45716096,10.06466076,unstable,0.223869438,stay
V144,45,25.87799816,73.78849848,22.50869722,99,urban,RSU_1,16.03460489,25,0,4.586227996,91.28492254,102.2295478,763.1525661,8.187212157,R6,6,11.10707129,20.07217405,stable,1.725280595,next-hop
V145,46,66.25222844,70.4554428,23.97170336,41,rural,RSU_4,15.8150443,15,0,7.162599333,154.0116372,64.09748484,661.3195209,7.037067534,R3,8,22.97461056,43.71994108,stable,1.832596992,next-hop
V146,47,31.17110761,42.27286369,7.644913007,32,rural,RSU_5,21.96737136,20,0,2.925912374,161.3317835,106.8369263,954.1246807,3.832486683,R4,3,6.769544424,25.75408981,stable,3.766080304,next-hop
V147,48,52.00680212,34.6524168,17.65349632,31,highway,RSU_4,28.2626525,10,0,7.871758465,155.1805002,55.84250983,593.606734,5.913749722,R1,7,21.6490571,31.30868752,unstable,1.387054241,next-hop
V148,49,54.67102793,39.76123786,25.3656264,29,urban,RSU_3,28.90928741,15,1,14.61441237,176.1603578,68.93903947,801.431315,6.801649119,R1,4,32.65239811,13.16510417,stable,0.335173012,stay
V149,50,18.48544555,26.42762632,28.40407604,84,highway,RSU_1,27.35068732,10,1,10.3424992,167.7799093,107.5366832,950.3101921,7.626442915,R5,5,30.59911417,21.03040965,stable,0.611023756,stay
V150,51,96.95846278,20.53329387,17.83794667,49,rural,RSU_2,25.2470171,10,0,4.009962691,131.9158939,102.3011455,523.5948255,2.683537485,R4,2,7.714522003,46.81422432,stable,6.041489312,next-hop
V151,52,77.51328234,48.30396976,28.75698059,27,urban,RSU_1,21.30728973,15,0,5.491509577,178.2924387,85.08727285,758.1387355,1.919021689,R7,3,7.792675278,19.14104729,stable,2.437096823,next-hop
V152,53,93.94989416,26.85337561,18.39222426,40,highway,RSU_2,25.01736079,10,0,2.839457402,163.0143851,97.0954942,725.3344063,1.918503021,R7,8,18.7280365,16.27524793,unstable,0.849846164,stay
V153,54,89.48273504,28.74616649,14.85476236,41,rural,RSU_1,18.46899913,20,0,4.371380572,94.44400862,62.99018171,964.389304,3.644817957,R4,7,39.71296264,7.51549176,stable,0.152797126,stay
V154,55,59.78999788,65.67560635,26.20507821,37,highway,RSU_2,17.88148073,15,1,8.341941365,144.7847499,96.74345356,831.8823864,2.387558386,R2,5,5.925953345,9.375386826,stable,1.558213623,next-hop
V155,56,92.1874235,96.85373317,17.32456776,85,urban,RSU_4,22.49858142,10,0,6.483132959,167.4266967,50.55833171,674.580705,5.820774157,R4,4,32.71672647,31.31552021,unstable,0.898963822,stay
V156,57,8.849250205,60.36372006,16.79756276,67,urban,RSU_4,39.88371991,10,0,4.651510125,146.3945842,108.3251107,855.7606093,4.933359928,R8,5,13.26657782,34.70147595,stable,2.566373061,next-hop
V157,58,19.59828624,7.697946706,17.25781224,63,urban,RSU_4,23.16242369,25,0,3.905779376,193.8834381,86.14013256,791.3270104,9.037599072,R2,9,47.49423091,33.87112159,stable,0.62278687,stay
V158,59,4.522728891,7.558361385,26.16962505,28,urban,RSU_4,38.41140976,25,0,10.52892452,92.17895219,116.0714916,673.584949,7.456622359,R5,4,24.35969205,29.29231953,unstable,1.127925149,next-hop
V159,60,32.53303308,95.14232208,25.79853854,86,urban,RSU_1,24.80655364,10,0,9.255330899,166.6786031,83.47149871,892.6243389,2.85230987,R7,7,7.154776429,27.09370839,unstable,3.758277042,next-hop
V160,61,38.86772897,29.72907903,15.08799981,73,highway,RSU_2,25.97524978,15,1,12.95432406,178.9340974,80.31610976,834.0848799,1.411543093,R6,2,37.11373161,8.246341293,stable,0.208075681,stay
V161,62,27.13490318,9.206698608,13.3324965,45,highway,RSU_4,34.92657208,20,1,4.382287514,164.3183834,81.50369687,502.7081492,7.382402774,R9,6,26.80742473,42.83128991,unstable,1.52391579,next-hop
V162,63,82.87375092,59.90445872,17.2982006,45,highway,RSU_1,17.34095819,10,0,13.02381098,126.2702006,75.18100342,932.567303,8.612447981,R2,4,44.65581705,28.08863415,stable,0.542878324,stay
V163,64,35.67533267,62.36487783,19.31931274,53,highway,RSU_2,19.55783309,10,1,9.512845243,126.2576376,61.66725587,698.5459411,7.308942586,R4,2,34.3321298,10.93616012,stable,0.245450676,stay
V164,65,28.09345097,64.85048201,10.95843027,27,rural,RSU_1,39.34600662,10,1,5.460901522,150.3881006,108.9443909,822.7238003,6.794149297,R7,5,36.16365476,11.11322551,stable,0.239362224,stay
V165,66,54.26960832,26.74020279,24.84887712,29,rural,RSU_4,27.6479335,25,0,5.556190827,127.6517644,77.23597854,698.3841605,3.243835616,R8,7,39.52669359,28.08304348,stable,0.678044635,stay
V166,67,14.0924225,1.511068421,17.16206914,67,highway,RSU_3,16.10774206,15,0,7.074945072,185.9819597,87.03758997,940.6810221,5.451431511,R5,8,23.91594686,16.00594702,stable,0.61474403,stay
V167,68,80.21969808,96.50153695,13.35113871,74,rural,RSU_1,16.18451833,10,0,7.981653817,93.1916742,51.39208415,825.4177231,7.524655275,R5,5,40.66462357,46.4884241,stable,1.067968852,next-hop
V168,69,7.455064368,25.08930457,7.670524824,73,rural,RSU_4,37.68101709,25,0,3.072566102,156.6988818,54.21777109,789.6931046,2.740372955,R4,5,7.278033654,27.4527019,unstable,3.744590631,next-hop
V169,70,98.68869366,67.60262881,10.97112901,97,urban,RSU_5,36.83412724,10,0,12.94598915,96.09379529,91.80282606,990.1323751,5.288891894,R9,7,39.44873321,49.02883349,stable,1.189960458,next-hop
V170,71,77.22447693,70.66298699,28.73202929,59,highway,RSU_2,26.45997767,10,0,3.580033901,144.8191763,111.5459658,640.32026,2.053254437,R4,7,33.63385268,38.03714158,stable,1.110385818,next-hop
V171,72,19.87156815,61.00074171,12.62749217,34,rural,RSU_4,19.08055215,15,0,8.284977959,165.8697443,84.53770796,532.6271453,5.776470866,R3,6,30.49992685,41.48145003,unstable,1.302286095,next-hop
V172,73,0.552211712,31.29073942,9.221482234,37,rural,RSU_5,35.75711516,25,0,6.978587031,99.86130999,61.54822064,758.0052165,6.161835692,R9,3,19.31677787,22.4995443,stable,1.103148586,next-hop
V173,74,81.54614285,27.10962538,16.51681979,42,highway,RSU_1,23.11500268,20,0,8.659732096,164.4839866,58.12891201,712.0089169,5.818470674,R7,4,10.13506738,11.03093508,stable,1.030208164,next-hop
V174,75,70.68573438,59.76682827,12.67719358,81,urban,RSU_1,25.47645997,15,0,13.53727272,96.79760375,112.9851601,727.1450245,5.225181569,R9,8,34.12403678,36.03633489,unstable,1.003787806,next-hop
V175,76,72.9007168,86.60956336,5.878981257,65,highway,RSU_5,32.06190948,20,0,14.85814842,154.4664495,99.11464978,810.0524191,6.287085618,R4,7,26.22519202,23.31820404,stable,0.826281987,stay
V176,77,77.12703467,94.67337289,13.07863043,58,urban,RSU_5,23.83495884,25,0,2.263527845,140.6663635,117.6336888,807.5608183,9.97119569,R3,3,14.80301844,47.69968319,stable,3.122582427,next-hop
V177,78,7.404465173,10.59058044,18.6027156,34,rural,RSU_2,30.71674817,25,0,7.112112612,115.7689945,55.76440349,696.1321467,6.60282788,R8,5,6.951501172,13.7134509,stable,1.906704022,next-hop
V178,79,35.84657285,15.48286126,18.7928093,72,urban,RSU_1,37.13206776,20,0,12.6289369,93.3858477,113.1828999,931.438512,7.773109501,R4,8,29.24443253,33.19265518,stable,1.057276573,next-hop
V179,80,11.58690595,94.47362588,13.91397303,83,urban,RSU_5,34.93433172,25,1,6.245837443,168.3024968,109.1942619,825.7292547,2.729088111,R3,6,10.68333359,43.97275317,unstable,4.088723358,next-hop
V180,81,86.31034259,73.65352283,16.18256891,82,highway,RSU_3,24.54027685,15,0,10.43747029,125.816616,112.5229628,944.9558396,5.770210647,R4,9,46.82387241,23.12730723,stable,0.436219178,stay
V181,82,62.32981268,88.29938248,29.13794796,99,rural,RSU_3,22.19841387,10,0,14.89936965,90.38369327,50.40340696,956.5769526,1.06754849,R2,9,11.77843363,47.91504287,unstable,4.05735634,next-hop
V182,83,33.08980249,20.26326341,14.43371193,35,highway,RSU_5,22.13776122,20,0,10.40802675,172.7347206,101.9332436,583.6560379,1.283119766,R4,2,6.441142826,8.447746245,stable,1.298697901,next-hop
V183,84,6.355835029,58.75858711,11.45567033,89,highway,RSU_2,23.71477876,10,0,3.445487909,107.947362,88.42566799,840.2809369,3.902323655,R7,6,16.79213813,31.4116587,stable,1.831593742,next-hop
V184,85,31.09823217,70.11395944,11.0866761,85,rural,RSU_1,27.33792467,20,0,12.95811544,168.3742464,90.12256036,658.7559319,5.199404299,R3,7,12.87304759,39.98240242,stable,3.053906261,next-hop
V185,86,32.5183322,68.01118854,16.44411532,32,highway,RSU_3,25.41493702,10,0,14.56654668,147.7878423,82.84413911,918.2145273,6.180731539,R1,3,40.60572013,14.08131117,unstable,0.284974151,stay
V186,87,72.96061783,40.81516909,23.98800372,66,highway,RSU_5,18.32510052,10,1,11.26260948,103.3434814,101.9873842,866.4257898,8.992039305,R8,5,18.02041728,7.603585346,stable,0.332022408,stay
V187,88,63.75574714,1.539489169,10.1497046,28,urban,RSU_5,19.08639646,15,0,7.447885298,89.16868726,119.9887503,599.3738438,7.945807278,R6,8,16.03582507,8.595392535,stable,0.456553794,stay
V188,89,88.72127426,58.29260568,22.73240318,82,highway,RSU_4,23.57324023,10,0,14.32920228,151.1898818,99.73768515,969.3653833,3.699792635,R3,8,49.76637837,19.36531579,stable,0.352126547,stay
V189,90,47.22149252,25.31015392,5.528745584,53,rural,RSU_5,29.0516025,20,1,14.5914362,83.02541987,97.46352912,841.7395035,7.691357585,R8,9,11.7527806,15.04272664,stable,1.203015587,next-hop
V190,91,11.95942459,45.02542461,15.47332445,48,highway,RSU_2,29.81659875,10,0,14.15651767,87.85573818,95.8106401,974.3165516,5.944519747,R6,8,8.824934191,15.07505699,stable,1.648789296,next-hop
V191,92,71.32447872,95.75810151,24.39662663,56,urban,RSU_3,27.15517662,25,0,7.35364703,164.2662898,98.66481689,600.9555861,8.012631582,R1,4,18.75308476,25.63344364,stable,1.286765796,next-hop
V192,93,76.07850486,39.90353176,13.46832389,62,highway,RSU_4,33.46939703,10,0,12.26619976,144.664861,73.94787272,934.8525472,4.699446353,R9,6,23.22906453,8.822020066,stable,0.332789236,stay
V193,94,56.12771976,83.98016067,19.09342754,83,highway,RSU_3,33.43121972,10,1,10.50433167,119.1554319,72.41538206,834.0364102,1.827039853,R9,3,39.21908799,49.79752832,stable,1.251456433,next-hop
V194,95,77.096718,18.85406057,10.12448082,43,highway,RSU_3,25.69068679,25,1,4.336186657,144.7073531,104.9036585,776.1432969,6.566389923,R9,3,47.99497634,36.31134329,stable,0.690901601,stay
V195,96,49.37955964,67.2460498,23.54988478,90,urban,RSU_2,18.11102027,25,0,8.961693722,150.9979193,53.71616121,910.2564499,6.013338046,R6,9,39.36547122,6.363201073,stable,0.101510844,stay
V196,97,52.27328294,97.70069544,6.306977582,53,rural,RSU_5,28.25436924,20,0,11.71998312,147.8343039,103.1473417,816.4319434,9.582431784,R6,2,37.69873115,36.13568767,stable,0.862714247,stay
V197,98,42.75410184,10.18931009,26.31356612,67,rural,RSU_2,24.5367266,25,1,13.64685959,157.1064814,106.968911,834.8000803,2.459171252,R4,4,49.61515567,40.63225021,stable,0.794356644,stay
V198,99,2.541912674,0.831994223,9.954909661,31,urban,RSU_5,18.44807474,25,0,13.21377882,192.834572,86.51185717,626.8352921,6.905196498,R8,9,39.44136826,13.58430084,stable,0.275365621,stay
V199,100,10.7891427,43.35827926,26.85995079,42,urban,RSU_4,39.54543025,20,1,4.010560502,126.6533024,113.7103667,908.5268443,5.266661146,R9,9,11.2789933,42.81245594,stable,3.743102639,next-hop
V200,101,3.142918569,9.262548305,13.81323103,98,highway,RSU_2,24.24388473,20,0,8.344432204,116.1381696,83.1161206,825.1513512,4.410302104,R7,8,25.76883822,32.52942545,stable,1.218252122,next-hop
V201,102,63.64104113,74.83843497,23.06708936,32,rural,RSU_2,30.64494599,10,1,8.217492183,84.61218932,62.46606677,922.1945894,8.151108076,R7,3,27.6577079,41.93850791,stable,1.43482961,next-hop
V202,103,31.43559811,91.45486638,12.98063244,64,urban,RSU_1,27.25322153,15,1,13.6835818,97.64876682,75.29790541,675.7634828,8.295852432,R2,4,18.71646439,37.25121485,stable,1.907332702,next-hop
V203,104,50.85706912,43.40209727,27.64779178,84,rural,RSU_2,18.57070698,20,0,2.025185019,92.74997791,113.4107254,665.8550612,7.431405295,R2,5,12.39239415,36.70828766,stable,2.887848643,next-hop
V204,105,90.75664739,25.87116422,8.165928138,66,highway,RSU_1,16.38859058,25,0,11.60327599,120.2533024,119.5616802,511.9514823,1.752413507,R2,7,37.02832374,12.12084692,stable,0.309815742,stay
V205,106,24.92922291,43.4403319,9.462994732,77,urban,RSU_5,30.64423538,10,0,10.04233972,153.1988875,79.52977769,884.3026634,4.105996426,R4,9,17.48725959,19.2108601,stable,1.05750325,next-hop
V206,107,41.0382923,72.34478179,17.32575313,24,rural,RSU_5,21.17554676,25,0,13.98042915,85.56006694,61.67925819,665.1571935,1.420751668,R9,6,33.10947204,28.54604329,stable,0.847963987,stay
V207,108,75.55511385,0.905416158,7.048460976,96,rural,RSU_5,21.09134999,20,0,7.939925554,167.3198005,70.04304962,663.6061549,4.093130697,R5,3,19.51653841,10.06459728,stable,0.474764513,stay
V208,109,22.87981655,58.94539895,9.899504618,24,highway,RSU_1,38.92440474,15,0,10.54973925,127.691954,88.73074398,844.3422577,6.831260007,R2,5,27.78063488,26.5321871,stable,0.886747902,stay
V209,110,7.697990983,61.32916849,28.59415956,79,urban,RSU_5,26.54433261,10,0,14.6457114,195.6205419,90.04671428,626.4344884,5.668360947,R4,9,20.16737615,25.03940713,unstable,1.184896204,next-hop
V210,111,28.97514529,63.76882469,29.41224153,40,rural,RSU_3,15.73565166,20,0,11.67074892,148.206197,94.10415847,954.5102433,7.326431416,R7,2,23.52913168,15.43654978,stable,0.582796861,stay
V211,112,16.12212873,24.202208,14.40648323,43,highway,RSU_2,23.49606788,20,1,2.875991664,172.5634775,108.4747361,769.0329956,5.963156115,R5,4,37.94299338,13.98730063,stable,0.309008322,stay
V212,113,92.96976523,71.40527234,28.08215053,37,rural,RSU_1,29.61228856,25,0,4.177936163,183.3417479,99.78499062,984.738618,6.002323988,R8,7,44.77212081,16.13183684,unstable,0.300286626,stay
V213,114,80.81203796,9.139148633,18.62061689,40,highway,RSU_5,23.21418546,15,1,12.67886434,186.6615562,68.25881586,538.3344223,5.59868697,R1,9,27.89355784,32.2298043,unstable,1.099470046,next-hop
V214,115,63.34037565,19.92703365,11.74356165,73,rural,RSU_3,15.67129885,20,0,6.352342033,142.21541,77.65308425,668.4126838,4.278928175,R5,9,32.46129778,23.67285672,stable,0.686474745,stay
V215,116,87.14605902,87.74700467,22.55996803,29,rural,RSU_2,26.10778164,25,0,11.17693544,127.609107,108.7871609,690.7351717,5.019083917,R4,9,43.89844211,23.62815921,stable,0.488055123,stay
V216,117,80.36720769,73.87231507,21.47254516,43,highway,RSU_2,17.6476584,10,0,11.09770853,147.2617988,94.33678694,865.21036,2.011939702,R3,5,11.44500805,13.17799449,stable,1.131299146,next-hop
V217,118,18.65700589,1.374555401,29.72813298,79,urban,RSU_5,30.47900062,25,0,14.9181068,128.2484482,61.64926338,606.481129,8.510576053,R7,4,12.29890927,40.43147409,stable,3.202297472,next-hop
V218,119,89.25589985,24.83762604,11.62618219,76,highway,RSU_3,30.48967751,10,0,8.108345407,108.8857963,72.78771629,687.6729267,9.002904746,R1,8,21.16566294,36.51707249,stable,1.635268789,next-hop
V219,120,53.93422419,21.4406483,21.80148757,42,urban,RSU_1,15.94397849,25,0,11.59182069,118.8703793,105.3763639,955.321272,7.896437321,R6,8,18.90807263,24.30837782,stable,1.20664407,next-hop
V220,121,80.74401552,27.0806328,6.300593876,41,rural,RSU_5,22.26665654,15,1,2.633787405,107.9323827,62.04658863,557.2754418,6.25227411,R8,7,49.38681633,11.39908637,stable,0.168289593,stay
V221,122,89.60912999,24.75597703,7.841150967,87,rural,RSU_2,25.34215659,25,0,8.013683269,112.3325157,98.37354569,872.6620003,6.122613232,R2,4,30.38413887,37.16153917,stable,1.161831047,next-hop
V222,123,31.8003475,6.252629574,5.097959374,53,highway,RSU_2,28.75660245,15,1,4.426860083,91.23292847,89.44755754,851.2425558,5.232912661,R6,3,28.57579826,45.44799539,stable,1.538107472,next-hop
V223,124,11.00519245,45.89405166,29.98651703,89,highway,RSU_2,22.40158574,15,0,12.92743017,131.1755265,60.32324345,565.2525383,3.082120584,R1,4,31.04233879,13.02178678,stable,0.388663514,stay
V224,125,22.79351625,73.27334748,25.05684243,47,urban,RSU_5,22.19366281,10,0,12.91880832,108.2340688,98.22152468,844.2453437,4.454234425,R6,5,44.38194688,32.1197192,unstable,0.679169017,stay
V225,126,42.71077886,60.67317247,24.66807537,58,urban,RSU_4,39.57537891,25,0,5.072737469,133.8039863,59.96442795,784.8918947,9.909152323,R6,2,15.9596496,24.09389609,stable,1.410584234,next-hop
V226,127,81.80147659,67.28716686,17.74315188,61,urban,RSU_4,16.04656989,25,1,6.137706991,175.0637881,77.89049054,643.7611686,2.312227112,R5,3,27.99352756,8.944266178,stable,0.296389665,stay
V227,128,86.07305833,8.114917854,12.50167707,42,highway,RSU_4,39.72613535,25,0,11.1322112,133.7974824,71.59919472,655.5705975,5.884149339,R7,6,17.19334368,37.66221542,unstable,2.131669912,next-hop
V228,129,0.695213053,95.14907102,8.781607112,89,rural,RSU_3,16.19379853,15,1,11.597457,194.5534245,98.30069669,916.4961377,8.798732191,R5,2,40.12593399,8.201624768,stable,0.116409784,stay
V229,130,51.07473026,83.84918338,12.11686847,99,highway,RSU_5,22.20853569,20,0,10.54921083,97.74042734,104.765365,615.5074931,5.077015129,R8,9,39.97018647,36.60041702,stable,0.864922775,stay
V230,131,41.74110031,80.50903185,14.39928055,21,rural,RSU_2,27.34227137,25,0,14.95703029,182.0317989,61.78216074,756.3902647,6.45049239,R2,5,48.08433734,17.65188024,stable,0.302597572,stay
